Index,HIERARCH ESO OBS PROG ID,HIERARCH ESO OBS NAME,HIERARCH ESO INS FILT1 NAME,HIERARCH ESO DET DIT,HIERARCH ESO DET NDIT,HIERARCH ESO TPL ID,HIERARCH ESO TPL NEXP,HIERARCH ESO TPL EXPNO,JITTR_ID,NJITTER,JITTER_I,ESOGRADE,RA,DEC,FWHM,Filename
1249,098.B-0510(A),MS_DV1_V5_OB22,Ks,7.0,4,VIRCAM_img_obs_tile6,18,7,Jitter3u,3,1,B,351.684292,-53.28691,0.92795588,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161013_00107_st.fit
1250,098.B-0510(A),MS_DV1_V5_OB22,Ks,7.0,4,VIRCAM_img_obs_tile6,18,10,Jitter3u,3,1,B,351.6853,-53.46988,0.95244336,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161013_00110_st.fit
1251,098.B-0510(A),MS_DV1_V5_OB22,Ks,7.0,4,VIRCAM_img_obs_tile6,18,13,Jitter3u,3,1,B,351.531446,-53.4702,0.86256062,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161013_00113_st.fit
1252,098.B-0510(A),MS_DV1_V5_OB22,Ks,7.0,4,VIRCAM_img_obs_tile6,18,16,Jitter3u,3,1,B,351.37725,-53.47009,0.86884008,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161013_00116_st.fit
1253,098.B-0510(A),MS_DV2_V5_OB22,Ks,7.0,4,VIRCAM_img_obs_tile6,18,1,Jitter3u,3,1,C,358.290867,-52.43722,1.02088944,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161013_00119_st.fit
1254,098.B-0510(A),MS_DV2_V5_OB22,Ks,7.0,4,VIRCAM_img_obs_tile6,18,4,Jitter3u,3,1,C,358.4414,-52.4373,0.9620589,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161013_00122_st.fit
1255,098.B-0510(A),MS_DV2_V5_OB22,Ks,7.0,4,VIRCAM_img_obs_tile6,18,7,Jitter3u,3,1,C,358.591321,-52.43721,1.00164748,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161013_00125_st.fit
1256,098.B-0510(A),MS_DV2_V5_OB22,Ks,7.0,4,VIRCAM_img_obs_tile6,18,10,Jitter3u,3,1,C,358.592283,-52.62019,1.08494272,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161013_00128_st.fit
1257,098.B-0510(A),MS_DV2_V5_OB22,Ks,7.0,4,VIRCAM_img_obs_tile6,18,13,Jitter3u,3,1,C,358.441425,-52.6205,0.96715822,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161013_00131_st.fit
1258,098.B-0510(A),MS_DV2_V5_OB22,Ks,7.0,4,VIRCAM_img_obs_tile6,18,16,Jitter3u,3,1,C,358.29025,-52.6204,0.98906952,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161013_00134_st.fit
1259,098.B-0510(A),MS_DV1_V5_OB27,Ks,7.0,4,VIRCAM_img_obs_tile6,18,1,Jitter3u,3,1,C,351.377896,-53.28692,0.99752702,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161013_00137_st.fit
