#  im_file        filter  tile  dither  weight_file     zp      FWHM    MJD   EXPTIME   NCHIP
c4d_140911_071326_ooi_i_v1.fits.fz    i    6    10    c4d_140911_071326_oow_i_v1.fits.fz    30.78     0.0    56911.299268    100.0    60
c4d_140911_071534_ooi_i_v1.fits.fz    i    6    11    c4d_140911_071534_oow_i_v1.fits.fz    30.58     0.0    56911.300760    100.0    60
c4d_140911_071741_ooi_i_v1.fits.fz    i    6    12    c4d_140911_071741_oow_i_v1.fits.fz    30.60     0.0    56911.302233    100.0    60
c4d_140911_071951_ooi_i_v1.fits.fz    i    6    13    c4d_140911_071951_oow_i_v1.fits.fz    30.73     0.0    56911.303718    100.0    60
c4d_140911_072157_ooi_i_v1.fits.fz    i    6    14    c4d_140911_072157_oow_i_v1.fits.fz    30.67     0.0    56911.305191    100.0    60
c4d_140911_072406_ooi_i_v1.fits.fz    i    6    15    c4d_140911_072406_oow_i_v1.fits.fz    30.53     0.0    56911.306674    100.0    60
c4d_140911_072615_ooi_i_v1.fits.fz    i    6    16    c4d_140911_072615_oow_i_v1.fits.fz    30.61     0.0    56911.308156    100.0    60
c4d_140911_072821_ooi_i_v1.fits.fz    i    6    17    c4d_140911_072821_oow_i_v1.fits.fz    30.77     0.0    56911.309645    100.0    60
c4d_140911_073031_ooi_i_v1.fits.fz    i    6    18    c4d_140911_073031_oow_i_v1.fits.fz    30.98     0.0    56911.311127    100.0    60
c4d_140911_073239_ooi_i_v1.fits.fz    i    6    19    c4d_140911_073239_oow_i_v1.fits.fz    30.94     0.0    56911.312605    100.0    60
c4d_140911_073446_ooi_i_v1.fits.fz    i    6    20    c4d_140911_073446_oow_i_v1.fits.fz    31.07     0.0    56911.314078    100.0    60
c4d_140911_073802_ooi_i_v1.fits.fz    i    7    1    c4d_140911_073802_oow_i_v1.fits.fz    29.91     0.0    56911.316369    100.0    60
c4d_140911_074014_ooi_i_v1.fits.fz    i    7    2    c4d_140911_074014_oow_i_v1.fits.fz    29.89     0.0    56911.317857    100.0    60
c4d_140911_074222_ooi_i_v1.fits.fz    i    7    3    c4d_140911_074222_oow_i_v1.fits.fz    29.85     0.0    56911.319351    100.0    60
c4d_140911_074429_ooi_i_v1.fits.fz    i    7    4    c4d_140911_074429_oow_i_v1.fits.fz    29.81     0.0    56911.320835    100.0    60
c4d_140911_074638_ooi_i_v1.fits.fz    i    7    5    c4d_140911_074638_oow_i_v1.fits.fz    29.79     0.0    56911.322310    100.0    60
c4d_140911_074845_ooi_i_v1.fits.fz    i    7    6    c4d_140911_074845_oow_i_v1.fits.fz    29.83     0.0    56911.323813    100.0    60
c4d_140911_075201_ooi_i_v1.fits.fz    i    6    21    c4d_140911_075201_oow_i_v1.fits.fz    31.29     0.0    56911.326080    100.0    60
c4d_140911_075411_ooi_i_v1.fits.fz    i    6    22    c4d_140911_075411_oow_i_v1.fits.fz    31.26     0.0    56911.327577    100.0    60
c4d_140911_075621_ooi_i_v1.fits.fz    i    6    23    c4d_140911_075621_oow_i_v1.fits.fz    31.23     0.0    56911.329058    100.0    60
c4d_140911_075828_ooi_i_v1.fits.fz    i    6    24    c4d_140911_075828_oow_i_v1.fits.fz    31.06     0.0    56911.330539    100.0    60
c4d_140911_080035_ooi_i_v1.fits.fz    i    6    25    c4d_140911_080035_oow_i_v1.fits.fz    31.28     0.0    56911.332022    100.0    60
c4d_140911_080245_ooi_i_v1.fits.fz    i    6    26    c4d_140911_080245_oow_i_v1.fits.fz    31.39     0.0    56911.333506    100.0    60
c4d_140911_080453_ooi_i_v1.fits.fz    i    6    27    c4d_140911_080453_oow_i_v1.fits.fz    31.35     0.0    56911.334998    100.0    60
c4d_140911_080701_ooi_i_v1.fits.fz    i    6    28    c4d_140911_080701_oow_i_v1.fits.fz    31.36     0.0    56911.336481    100.0    60
c4d_140911_080909_ooi_i_v1.fits.fz    i    6    29    c4d_140911_080909_oow_i_v1.fits.fz    31.10     0.0    56911.337968    100.0    60
